date,store_id,item_id,price,promo,holiday,sales
2024-01-01,101,1,10.61,0,0,57
2024-01-02,101,1,10.49,0,0,59
2024-01-03,101,1,10.42,0,0,61
2024-01-04,101,1,10.42,0,0,58
2024-01-05,101,1,10.57,0,0,60
2024-01-06,101,1,10.57,0,0,58
2024-01-07,101,1,10.55,0,0,59
2024-01-08,101,1,10.43,0,0,63
2024-01-09,101,1,10.52,0,0,54
2024-01-10,101,1,10.51,0,0,56
2024-01-11,101,1,10.52,0,0,56
2024-01-12,101,1,10.59,0,0,54
2024-01-13,101,1,10.52,0,0,59
2024-01-14,101,1,10.57,0,0,64
2024-01-15,101,1,10.51,0,0,61
2024-01-16,101,1,10.53,0,1,63
2024-01-17,101,1,10.56,0,0,65
2024-01-18,101,1,10.35,0,0,67
2024-01-19,101,1,10.47,0,0,63
2024-01-20,101,1,10.45,0,0,67
2024-01-21,101,1,10.44,0,0,64
2024-01-22,101,1,10.47,0,0,61
2024-01-23,101,1,10.65,0,0,62
2024-01-24,101,1,10.41,0,0,60
2024-01-25,101,1,10.6,0,1,62
2024-01-26,101,1,10.33,0,0,64
2024-01-27,101,1,10.47,0,0,68
2024-01-28,101,1,10.52,0,0,70
2024-01-29,101,1,10.56,0,0,61
2024-01-30,101,1,10.57,0,0,67
2024-01-31,101,1,10.58,1,0,71
2024-02-01,101,1,10.47,0,0,68
2024-02-02,101,1,10.45,0,0,66
2024-02-03,101,1,10.59,1,0,69
2024-02-04,101,1,10.48,0,0,70
2024-02-05,101,1,10.37,0,0,66
2024-02-06,101,1,10.39,0,0,66
2024-02-07,101,1,10.41,0,0,65
2024-02-08,101,1,10.55,0,0,66
2024-02-09,101,1,10.51,0,0,69
2024-02-10,101,1,10.57,0,0,67
2024-02-11,101,1,10.46,0,0,69
2024-02-12,101,1,10.52,0,0,69
2024-02-13,101,1,10.56,0,0,72
2024-02-14,101,1,10.47,0,0,68
2024-02-15,101,1,10.55,0,0,64
2024-02-16,101,1,10.43,1,0,80
2024-02-17,101,1,10.46,0,0,68
2024-02-18,101,1,10.46,0,0,73
2024-02-19,101,1,10.38,0,0,71
2024-02-20,101,1,10.55,0,0,69
2024-02-21,101,1,10.45,0,0,71
2024-02-22,101,1,10.5,0,0,75
2024-02-23,101,1,10.55,0,0,76
